property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
"5bdrm Villa in Lavington, Maziwa for rent",Villa,"Allow me to introduce you to Lavishly designed and excellently finished 5 bedrooms corner villas that boast of impressive dinning area separate from gorgeous lounge with fire place and opening to terrace facing very interesting mature garden and private swimming pool. 
Stunning fitted kitchen with pantry and opening to laundry area. Brilliant family/tv room. All bedrooms en-siute, enough wardrobes and exallent natural lighting, master bedroom en-siute with jacuzzi and shower, walk-in closet and opening to the balcony with very interesting view. Self-contained dsq for one. Only 3 units in the compound with 24 hours Security but each house with private pool and garden. With power backup generator. Located in a gated community , just a walking distance to Lavington mall and close to international schools. For more details and viewing appoin",5 bedrooms,5 bathrooms,Not available,Maziwa Lavington Green,Lavington,12,Detached,Fairly Used,,5,Unfurnished,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Gym

|



Kids Play Area

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Garden",,
Studio Apartment in Nairobi West for rent,Studio Apartment,"This gorgeous studio apartment with a large balcony, ample vehicle parking space and sufficient water supply is up for rent.
It's in close proximity to many social amenities, schools and public transport.
Rent is inclusive of service charge.",1 bedroom,1 bathroom,Not available,Nairobi west,Renovated,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Garden

|



Gated Community",,
1bdrm Apartment in Bamburi for Rent,Apartment,"Full time water supply, parking available, open plan kitchen, basement parking, balcony, ready for occupation",1 bedroom,1 bathroom,Not available,cute one bedroom house to let,"200
     
      sqm",,Unfurnished,7000,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Fibre Internet

|



Service Charge Included","Kids Play Area

|



Parking

|



Garden",,
2bdrm Apartment in Dam Estate for rent,Apartment,"This gorgeous 2 bedroom master ensuite apartment in a very secure apartment complex with adequate supply of water from both NWSC and a borehole on site and ample vehicle parking space is up for rent.
The apartment has spacious living room and bedrooms with large windows allowing in alot of natural light. 
The apartments are in close proximity to many social amenities, schools and public transport.
Rent is inclusive of service charge.
Please call us on",2 bedrooms,2 bathrooms,Not available,Deliverance,"80
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Garden",,
5bdrm Maisonette in Ridgeways for rent,Maisonette,"5 bedroom maisonette for rent.
Located at kiambu Ridgeway.
4 bedroom upstairs and 1 bedroom downstairs.
Price guide 350k",5 bedrooms,5 bathrooms,Not available,5 bedroom maisonette to rent,Ridgeways,360,Newly-Built,Unfurnished,,Not available,6,Not available,,Not available,kenya,,,11/05/2024,"Walk In Closet

|



Backup Generator

|



Service Charge Included

|



Alarm

|



En Suite

|



Fibre Internet","Wheelchair Access

|



Garden

|



Borehole

|



Staff Quarters

|



Electric Fence

|



Swimming Pool

|



Parking

|



CCTV

|



Pet Friendly

|



Kids Play Area

|



BBQ

|



Lift/Elevator

|



Gym

|



Balcony

|



Gated Community",,
1bdrm Bedsitter in South B for rent,Bedsitter,"Bedsitter to let in south b, self cointained, well lit to natural light, parking, lift, borehole, fresh air, balcony, 24 hour security etc",1 bedroom,1 bathroom,Not available,Popo road,South b,150,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Garden",,
"Furnished 1bdrm Apartment in Dimash Apartment, Mtambo for rent",Apartment,It's a Air bnb for rent per day,1 bedroom,1 bathroom,Not available,Aryna court,Dimash apartment,30,Newly-Built,Furnished,,2500,1,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Kids Play Area

|



Parking

|



Staff Quarters

|



Garden

|



Gated Community",,
2bdrm Apartment in South C for Rent,Apartment,"Newly renovated two bedrooms master ensuite. has ample parking, its in a serene environment of few tenants, all rooms are well lit, common toilet and bathroom are separate, has inbuilts wardrobe and cabinets in the kitchen and a balcony for cold breeze. its ready for occupation immediately. to organize viewing and for more options available within the enviro call maryanne.agency applies.",2 bedrooms,2 bathrooms,Not available,Newly renovated two bedrooms master ensuite Dafam area@35000,Renovated,,No Pets,"Dining Area, Kitchen Cabinets, Balcony, Wardrobe, Tiled Floor, Kitchen Shelf, Hot Water, Wi-Fi, Pre-Paid Meter",,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Garden",,
3bdrm Apartment in Beach Road Nyali for rent,Apartment,"Vacant three bedroom Apartment to rent located off beach road nyali walking distance from beachmarrt supermarket and overlooking maweni.It has master bedroom, balcony and elavaots.",3 bedrooms,2 bathrooms,Not available,Beach road Nyali,Beach road Nyali,180,Fairly Used,Unfurnished,,500,20000,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Fibre Internet","Balcony

|



Kids Play Area

|



Garden

|



Parking

|



Pet Friendly",,
"4bdrm Maisonette in Gataka/ 1Bdr Guest, Karen for rent",Maisonette,"4 bedrooms master ensuite plus 1 bedroom guest wing for rent in karen gataka junctions 
Shared compound of two with mature trees and plenty of water .
Just along the tarmac
Very spacious rooms 
Garage for two cars which can be used as a store .
Outside gazebos for relaxation 
Cctv all round the premises",4 bedrooms,3 bathrooms,Not available,Karen gataka junction,Gataka/ 1bdr guest wing,300,Detached,Fairly Used,,3,Unfurnished,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Borehole

|



Garden

|



Wheelchair Access

|



Electric Fence

|



CCTV

|



Parking",,
3bdrm Bungalow in Ruiru Kwa Kairu for rent,Bungalow,"Three bedrooms bungalow master ensuit available to let at ruiru 
-newly built built house
-located at ruiru behind ku
-approx 2km from superhighway 
- in a gated community 
contact",3 bedrooms,3 bathrooms,Not available,Ruiru Kwa kairu,Ruiru Kwa kairu,30,Newly-Built,Unfurnished,,Not available,2,Not available,,Not available,kenya,,,09/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
Buruburu One Bedroom To Let. Very Spacious,House,Very very spacious one bedroom house to let in buruburu large sitting room and bedroom.,1 bedroom,1 bathroom,Not available,Nairobi,Fairly Used,4,Unfurnished,Yes,,Pets Allowed,Standard,Allowed,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Garden

|



Wheelchair Access",,
"2bdrm Apartment in Shopping Center, South B for rent",Apartment,"Spacious 2br to let, has features;
24 hours security
Borehole
Ready internet
Balcony
children play area
Spacious living room
Master ensuite
enough parking
Natural light.",2 bedrooms,2 bathrooms,Not available,South b,Shopping center,80,Renovated,Unfurnished,,1500,2,8000,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet","Kids Play Area

|



Balcony

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Garden

|



Wheelchair Access",,
Furnished Mini Flat in Kilimani for rent,Mini Flat,This is a clean furnished Studio in a great neighbourhood. It has everything you need for a comfortable stay.,1 bedroom,1 bathroom,Not available,Kilimani,"25
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



CCTV

|



Staff Quarters

|



BBQ

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden",,
Three Bedrooms Master Ensuite Langata,Apartment,"Newly renovated three bedrooms in a gated community. has ample underground parking, all rooms are well lit, spacious enough for big families, master bedrooms is ensuite. its ready for occupation immediately.",3 bedrooms,2 bathrooms,Not available,Delivarance,Renovated,,No Pets,"Kitchen Shelf, Dining Area, Wi-Fi, Hot Water, Balcony, Kitchen Cabinets, Tiled Floor, Wardrobe",,Not available,1000,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Alarm","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden",,
2bdrm Apartment in Ongata Rongai for rent,Apartment,"Two bedroom newly built apartment for rent:
Features includes:
Green spaces & attractive landscaping throughout the project
 
Ample parking space 
Cabro paving blocks to driveways
Secured masonry boundary wall
Solar street lighting Community Hall for the society
Controlled access and we'll planned security check points
 
Borehole with overhead storage water tank
Children play area",2 bedrooms,1 bathroom,Not available,Tumaini,"83
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden

|



Gated Community

|



Swimming Pool

|



Gym",,
"Furnished 2bdrm Apartment in Tatu City, Kiambu / Kiambu  for rent",Apartment,"Available fully furnished 2 bedroom .
Located ina very secure and serene environment.
Call for both short and long term booking.
@ ksh 6000 pd
@/ksh 150 pm.",2 bedrooms,2 bathrooms,Not available,Tatu city,Tatu city,110,Newly-Built,Furnished,,Not available,2,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



Electric Fence

|



Staff Quarters

|



CCTV

|



Borehole

|



Wheelchair Access

|



Garden",,
1 Bedroom Available on Gitanga Road,Mini Flat,Vacant one bedroom on Gitanga Road with parking space inbuilt wardrobes secure compound and close to public transport25,1 bedroom,1 bathroom,Not available,3,Unfurnished,,Yes,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Alarm

|



Backup Generator

|



Walk In Closet

|



Fibre Internet

|



En Suite","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden

|



Gated Community",,
3bdrm Bungalow in Milimani for Rent,Bungalow,"3 BEDROOM BUNGALOW TO LET
LOCATION: MILIMANI
HOUSE SPECS
1.	Stand alone shared compound
2.	3 bedrooms master ensuite 
3.	Wooden flooring
4.	Large bay windows
5.	Spacious bedrooms fitted with wardrobes 
6.	Kitchen fitted with cabinetry and a pantry
7.	Secure perimeter wall with electric fence
8.	Lush manicured garden
Rent- Kshs 80,000 p/m
Contact",3 bedrooms,2 bathrooms,Not available,NAKURU,Milimani,2023,Renovated,Unfurnished,,0,20000,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden",,
"1bdrm Apartment in Balozi, South B for rent",Apartment,"~Elegant spacious 1vm bedroom with well lit rooms
~parking available
~constant water supply
~Cctv surveillance
~High speed lift",1 bedroom,1 bathroom,Not available,South B,Balozi,95,Newly-Built,Unfurnished,,1500,1,Not available,,Not available,kenya,,,09/05/2024,"Aircon

|



Alarm

|



En Suite

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Gated Community",,
2bdrm Apartment in Nairobi West for rent,Apartment,"This lovely 2 bedroom apartment on the 2nd floor for rent in Nairobi west.
Features: *Spacious master bedroom 
*Spacious bathroom and toilet *Balcony adjoined to living room *Very close to Nwest hospital 
*Easy access to the public transport, schools and many social amenities *WiFi connectivity from 3 major ISPs
 *Adequate water supply and ample vehicle parking space. 
Rent is inclusive of service charge and only 1 deposit required
Please call o arrange for viewing appointment.
Agency fees apply",2 bedrooms,1 bathroom,Not available,Nairobi west,"70
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Service Charge Included

|



Backup Generator

|



Walk In Closet

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Wheelchair Access

|



Garden

|



Swimming Pool",,
